manor,庄园
jotter,笔记本
fazenda,牧场
butterfly,蝴蝶
finca,
fazenda,
meadow,
pasture,
prairie,
grass,
field,
arsenal,
magazine,
magazine,
Tiramisu,
property,
castle,
chateau,
land,
large,
house,
mansion,
villa,
palace,
estate,
hobby,
ufochina,
chinageek,
chinastaff,
forexperts,
forextrends,
89forex,
sinodns,
kevin,
sinoware,
junker,
yoga,
rednote,
smart,
vendor,
nerd,
geek,
cow,
grove,
monitor,
venus,
Lizard,
maLL,
rainbow,
crown,
focus,
rose,玫瑰
Seahorse,海马
gust,阵风
thud,阵风
flatus,阵风
typhoon,台风
typhoor,飓风
cyclone,飓风
huricane,飓风
tutorial,教程
manual,手册
analysis,分析
depot,仓库
arsenal,兵工厂;军火库
Opera,戏剧
bubbly,香槟酒
withdraw,撤退
grape,葡萄
programmer,程序员
developer,开发者
Chekiang,浙江
Nanking,南京
Hohhot,呼和浩特
Tientsin,天津
Harbin,哈尔滨
Szechwan,四川
Amoy,厦门
Foochow,福州
Canton,广州
Formosa,台湾
Taiwan,台湾
Taipei,台北
Taipeh,台北
Kaohsiung,高雄
Tibet,西藏
Sinkiang,新疆
Urumqi,乌鲁木齐
bacteria,
chess,象棋
broker,代理
bargainer,交易者 




